Species,p_value,Significance
Abiotrophia sp HMSC24B09,0.42691490619888706,ns
Absiella dolichum,2.3448031717765978e-4,***
Acidaminococcus intestini,9.088752000847485e-5,****
Acidaminococcus sp CAG 542,0.6712979139271197,ns
Acinetobacter lwoffii,0.5788961813288109,ns
Acinetobacter ursingii,0.5788961813288109,ns
Actinobaculum sp oral taxon 183,0.33489400758216475,ns
Actinomyces europaeus,0.675190609165576,ns
Actinomyces graevenitzii,0.33489400758216475,ns
Actinomyces odontolyticus,0.07756218675789307,ns
Actinomyces sp HMSC035G02,0.07756218675789307,ns
Actinomyces sp HPA0247,0.3713517726106527,ns
Actinomyces sp ICM47,0.42691490619888706,ns
Actinomyces sp oral taxon 180,0.26716849576315027,ns
Actinomyces sp oral taxon 181,0.1845227692062417,ns
Actinomyces turicensis,0.029843410466665426,*
Actinomyces urogenitalis,0.8193749108300619,ns
Actinotignum timonense,0.061756697653238525,ns
Adlercreutzia equolifaciens,3.435893370099581e-4,***
Aeriscardovia aeriphila,0.27535520251691614,ns
Aeromonas dhakensis,0.5788961813288109,ns
Aeromonas hydrophila,0.5788961813288109,ns
Agathobaculum butyriciproducens,3.0972262484761155e-4,***
Aggregatibacter aphrophilus,0.5788961813288109,ns
Aggregatibacter segnis,0.17658147804476512,ns
Aggregatibacter sp oral taxon 458,0.18206432534980052,ns
Akkermansia muciniphila,4.31903140975927e-11,****
Alistipes finegoldii,7.459109243605945e-5,****
Alistipes indistinctus,1.0434841424266893e-5,****
Alistipes inops,1.0930702607344425e-4,***
Alistipes onderdonkii,0.0020327749029223673,**
Alistipes putredinis,2.780027678980671e-15,****
Alistipes shahii,3.096152860814798e-10,****
Alistipes timonensis,0.06165107977798162,ns
Allisonella histaminiformans,0.23876489039303883,ns
Alloprevotella tannerae,0.15490068264304446,ns
Alloscardovia omnicolens,0.46195198914707736,ns
Anaerococcus lactolyticus,0.061756697653238525,ns
Anaerococcus vaginalis,0.009254656176732884,**
Anaerocolumna aminovalerica,0.42691490619888706,ns
Anaerofilum sp An201,4.180243169705851e-9,****
Anaerofustis stercorihominis,0.003244536365322518,**
Anaeroglobus geminatus,0.5206834641283973,ns
Anaeromassilibacillus sp An172,0.012375229316991103,*
Anaeromassilibacillus sp An250,1.011605152321036e-6,****
Anaerosporobacter mobilis,0.8193749108300619,ns
Anaerostipes caccae,0.40265998438290257,ns
Anaerostipes hadrus,0.22075207917388825,ns
Anaerostipes sp 494a,0.3706215752470429,ns
Anaerostipes sp 992a,0.11185034410735051,ns
Anaerotignum lactatifermentans,0.9026457224176216,ns
Anaerotruncus colihominis,1.5819888823314344e-6,****
Anaerotruncus sp CAG 528,9.744445617965874e-5,****
Arthrospira platensis,0.5788961813288109,ns
Asaccharobacter celatus,0.03575451548402445,*
Atopobium deltae,0.33489400758216475,ns
Atopobium minutum,0.061756697653238525,ns
Atopobium parvulum,0.42691490619888706,ns
Atopobium rimae,0.42691490619888706,ns
Atopobium vaginae,0.42691490619888706,ns
Bacteroidales bacterium KA00251,0.5788961813288109,ns
Bacteroides caccae,0.1799368693054956,ns
Bacteroides cellulosilyticus,8.319502529052801e-4,***
Bacteroides clarus,6.511402080710492e-6,****
Bacteroides coagulans,0.3713517726106527,ns
Bacteroides coprocola,0.5764895459016474,ns
Bacteroides dorei,6.604480738029639e-5,****
Bacteroides eggerthii,4.310292273296134e-18,****
Bacteroides faecis,0.004916097209672809,**
Bacteroides faecis CAG 32,8.055442834586266e-6,****
Bacteroides finegoldii,1.397931210808669e-16,****
Bacteroides fluxus,1.0421795174480813e-18,****
Bacteroides fragilis,7.777679664930551e-6,****
Bacteroides galacturonicus,2.168042614373904e-7,****
Bacteroides intestinalis,0.1824406924617392,ns
Bacteroides massiliensis,1.6925698854265532e-14,****
Bacteroides nordii,0.08622562609739827,ns
Bacteroides oleiciplenus,0.05723962481122886,ns
Bacteroides ovatus,5.10119202555274e-7,****
Bacteroides pectinophilus,0.06457432143712627,ns
Bacteroides plebeius,0.091298992262761,ns
Bacteroides salyersiae,3.460647872756676e-4,***
Bacteroides sartorii,7.931244652684175e-5,****
Bacteroides sp 43 108,0.05262523003522069,ns
Bacteroides sp CAG 144,1.2621088880633259e-12,****
Bacteroides sp CAG 530,0.5788961813288109,ns
Bacteroides sp CAG 598,0.03725520228689569,*
Bacteroides sp CAG 633,3.186205316437736e-9,****
Bacteroides sp CAG 661,0.021479203995681196,*
Bacteroides sp D2,2.6699425832704785e-4,***
Bacteroides sp OM08 11,0.45184694812364395,ns
Bacteroides stercorirosoris,0.30996921508081426,ns
Bacteroides stercoris,2.4839468523626006e-8,****
Bacteroides thetaiotaomicron,0.024246770268237416,*
Bacteroides uniformis,0.12974264066597482,ns
Bacteroides vulgatus,0.12287519968251838,ns
Bacteroides xylanisolvens,1.0573188205055213e-12,****
Bacteroidetes oral taxon 274,0.18206432534980052,ns
Barnesiella intestinihominis,1.1504728076091285e-6,****
Bavariicoccus seileri,0.42691490619888706,ns
Bifidobacterium adolescentis,7.831037812932407e-16,****
Bifidobacterium angulatum,0.026801034387740674,*
Bifidobacterium animalis,8.07787425186052e-4,***
Bifidobacterium asteroides,0.03300778010555724,*
Bifidobacterium bifidum,0.17272968383058038,ns
Bifidobacterium breve,0.002839796206625015,**
Bifidobacterium catenulatum,0.23377002287728005,ns
Bifidobacterium dentium,0.03144764821170916,*
Bifidobacterium gallinarum,0.6707886665821761,ns
Bifidobacterium longum,0.5441790068923622,ns
Bifidobacterium pseudocatenulatum,0.09935092629623526,ns
Bifidobacterium pseudolongum,0.004590332031017758,**
Bifidobacterium pullorum,0.009344385096646207,**
Bifidobacterium saeculare,0.16422635963990492,ns
Bilophila wadsworthia,1.0825734869546508e-4,***
Blastocystis sp subtype 1,0.002527877074647333,**
Blautia coccoides,0.0014990580662835008,**
Blautia hansenii,0.48273617293535087,ns
Blautia hydrogenotrophica,0.0036784004797798,**
Blautia obeum,5.816642839491007e-4,***
Blautia producta,0.004006817067233554,**
Blautia sp CAG 257,0.35904641349120986,ns
Blautia sp N6H1 15,0.5181221757575228,ns
Blautia wexlerae,0.006214677275560695,**
Brachyspira pilosicoli,0.2706279460035249,ns
Bulleidia extructa,0.42691490619888706,ns
Butyribacterium methylotrophicum,0.5788961813288109,ns
Butyricicoccus pullicaecorum,2.0941432186357325e-5,****
Butyricimonas synergistica,1.443339944517517e-12,****
Butyricimonas virosa,2.4032009880957252e-6,****
Butyrivibrio crossotus,3.953942916707348e-7,****
Butyrivibrio sp CAG 318,4.695661548031222e-6,****
Campylobacter concisus,0.22598251976269965,ns
Campylobacter gracilis,0.5505345411539774,ns
Campylobacter hominis,0.7310201904217903,ns
Campylobacter showae,0.11185034410735051,ns
Campylobacter upsaliensis,0.5788961813288109,ns
Campylobacter ureolyticus,0.7068459727828721,ns
Candidatus Gastranaerophilales bacterium,3.617680514912081e-8,****
Candidatus Methanomassiliicoccus intestinalis,1.478096466836854e-6,****
Candidatus Stoquefichus sp KLE1796,0.5788823577889306,ns
Catabacter hongkongensis,0.6728678469596114,ns
Catenibacterium mitsuokai,0.001912763287703106,**
Cellulosilyticum lentocellum,0.6718026040155343,ns
Chlamydia ibidis,0.18206432534980052,ns
Christensenella minuta,0.011641623487341395,*
Citrobacter amalonaticus,0.03683670568894597,*
Citrobacter braakii,0.47259193413454215,ns
Citrobacter europaeus,0.5788961813288109,ns
Citrobacter farmeri,0.05188374543823418,ns
Citrobacter freundii,0.07305358502238277,ns
Citrobacter pasteurii,0.4364035962698958,ns
Citrobacter portucalensis,0.31637078587264683,ns
Citrobacter werkmanii,0.020238990859064002,*
Citrobacter youngae,0.008387719064945929,**
Cloacibacillus evryensis,0.025015702822000642,*
Cloacibacillus porcorum,0.23453955707379812,ns
Clostridiales bacterium 1 7 47FAA,0.18254823496428,ns
Clostridiales bacterium CHKCI006,9.21910059025326e-4,***
Clostridioides difficile,0.05673499286432875,ns
Clostridium aldenense,0.03549607910864807,*
Clostridium asparagiforme,0.011072420224082412,*
Clostridium baratii,0.18206432534980052,ns
Clostridium bolteae,3.55793430722538e-8,****
Clostridium bolteae CAG 59,4.2315458539659006e-5,****
Clostridium botulinum,0.42691490619888706,ns
Clostridium butyricum,0.027139021509990174,*
Clostridium cadaveris,0.22506695890137568,ns
Clostridium celatum,0.24693625303322833,ns
Clostridium celerecrescens,0.8193749108300619,ns
Clostridium citroniae,0.012799147182004486,*
Clostridium clostridioforme,0.0014691841533284655,**
Clostridium disporicum,0.08615513806813224,ns
Clostridium hylemonae,0.33489400758216475,ns
Clostridium innocuum,0.09193286132161113,ns
Clostridium lavalense,0.038463412094834296,*
Clostridium leptum,9.176321904074124e-6,****
Clostridium methylpentosum,0.18206432534980052,ns
Clostridium neonatale,0.016490733930525532,*
Clostridium paraputrificum,5.189401173366959e-6,****
Clostridium perfringens,0.027078464567874924,*
Clostridium saccharolyticum,1.8498479721967416e-5,****
Clostridium scindens,0.03102763700291117,*
Clostridium sp 7 2 43FAA,0.8196839860793733,ns
Clostridium sp CAG 167,5.672587232666015e-4,***
Clostridium sp CAG 242,0.16725303972462158,ns
Clostridium sp CAG 253,1.380699949470968e-19,****
Clostridium sp CAG 299,0.13015642949245151,ns
Clostridium sp CAG 411,0.007088425882185092,**
Clostridium sp CAG 413,0.012375229316991103,*
Clostridium sp CAG 58,0.2849602683336253,ns
Clostridium sp CAG 590,0.026801034387740674,*
Clostridium sp CAG 678,1.1616107496080547e-4,***
Clostridium sp CAG 964,0.33489400758216475,ns
Clostridium sp D5,0.5224830006752088,ns
Clostridium sp MSTE9,0.07756218675789307,ns
Clostridium sp chh4 2,0.1724321505527802,ns
Clostridium spiroforme,0.026425759316083274,*
Clostridium sporogenes,0.42691490619888706,ns
Clostridium symbiosum,0.008174990381581199,**
Clostridium ventriculi,0.42691490619888706,ns
Collinsella aerofaciens,1.1719945282797147e-8,****
Collinsella intestinalis,1.381474391166604e-10,****
Collinsella stercoris,8.505414405817654e-7,****
Coprobacillus cateniformis,0.7684434260362352,ns
Coprobacter fastidiosus,3.32703763920051e-4,***
Coprobacter secundus,0.12597115117351426,ns
Coprobacter sp,5.322087824930705e-4,***
Coprococcus catus,0.01603879351826022,*
Coprococcus comes,0.4896945763197421,ns
Coprococcus eutactus,1.0210223868577192e-13,****
Corynebacterium accolens,0.5788961813288109,ns
Corynebacterium amycolatum,0.42691490619888706,ns
Corynebacterium kroppenstedtii,0.42691490619888706,ns
Corynebacterium matruchotii,0.6460628521903709,ns
Corynebacterium oculi,0.5788961813288109,ns
Cronobacter malonaticus,0.42691490619888706,ns
Cronobacter sakazakii,0.8193749108300619,ns
Cutibacterium acnes,3.54447576692419e-5,****
Desulfovibrio fairfieldensis,0.03891289673400057,*
Desulfovibrio piger,0.010333170075346754,*
Desulfovibrionaceae bacterium,0.009828705980032083,**
Dialister invisus,0.214212090033348,ns
Dialister micraerophilus,0.5665796512761845,ns
Dialister pneumosintes,0.007529812839242635,**
Dialister sp CAG 357,3.988019130068136e-4,***
Dielma fastidiosa,6.741117994251636e-6,****
Dorea formicigenerans,2.7299225524328433e-11,****
Dorea longicatena,0.013187002006527976,*
Dorea sp CAG 317,0.5466860733538282,ns
Dysgonomonas gadei,0.008065370422154714,**
Dysgonomonas mossii,1.9640859632061875e-5,****
Dysgonomonas sp 37 18,3.061638404890305e-7,****
Eggerthella lenta,0.01966182560741394,*
Eikenella corrodens,0.15160675514127256,ns
Eisenbergiella massiliensis,0.48870827397703137,ns
Eisenbergiella tayi,0.2146104125313587,ns
Enhydrobacter aerosaccus,0.5788961813288109,ns
Enorma massiliensis,0.6363426867115459,ns
Enterobacter cloacae complex,0.07462970384721318,ns
Enterobacter mori,0.4992943326449518,ns
Enterococcus asini,0.07756218675789307,ns
Enterococcus avium,1.4406800350415122e-5,****
Enterococcus casseliflavus,0.0037963653366162586,**
Enterococcus dispar,0.42691490619888706,ns
Enterococcus durans,0.07756218675789307,ns
Enterococcus faecalis,0.0055065176838572085,**
Enterococcus faecium,5.215635489210375e-5,****
Enterococcus gallinarum,0.14785188917149333,ns
Enterococcus hirae,0.011947853370554415,*
Enterococcus mundtii,0.42691490619888706,ns
Enterococcus pseudoavium,0.07756218675789307,ns
Enterococcus raffinosus,0.07756218675789307,ns
Enterococcus sp 3H8 DIV0648,0.42691490619888706,ns
Enterococcus thailandicus,0.014032114036406251,*
Enterorhabdus caecimuris,0.7600088692414947,ns
Erysipelatoclostridium ramosum,0.003508114863207303,**
Erysipelothrix larvae,0.0013549240282074713,**
Escherichia albertii,0.5788961813288109,ns
Escherichia coli,0.2436792015921553,ns
Escherichia marmotae,0.5206834641283973,ns
Eubacteriaceae bacterium CHKCI005,0.8193749108300619,ns
Eubacterium brachy,0.26716849576315027,ns
Eubacterium coprostanoligenes,4.534652604355876e-4,***
Eubacterium dolichum CAG 375,0.0017706905025032557,**
Eubacterium eligens,1.925817383899849e-8,****
Eubacterium hallii,1.0020335389338145e-7,****
Eubacterium infirmum,0.18206432534980052,ns
Eubacterium limosum,0.33489400758216475,ns
Eubacterium ramulus,0.1981614870351678,ns
Eubacterium rectale,0.010884878258893609,*
Eubacterium siraeum,3.603058031560126e-6,****
Eubacterium sp An11,2.801405557886013e-9,****
Eubacterium sp CAG 180,0.2285662386705573,ns
Eubacterium sp CAG 251,0.01450532937489578,*
Eubacterium sp CAG 274,0.15041262502760097,ns
Eubacterium sp CAG 38,3.733520460503615e-7,****
Eubacterium sp OM08 24,0.03035661696726487,*
Eubacterium ventriosum,1.823676383229048e-11,****
Faecalibacterium prausnitzii,1.5559774417384082e-5,****
Faecalicatena orotica,0.1936063194824972,ns
Faecalicoccus pleomorphus,0.5788961813288109,ns
Faecalitalea cylindroides,1.0578777843704126e-4,***
Finegoldia magna,0.6726986924189073,ns
Firmicutes bacterium CAG 110,1.6956456636555032e-6,****
Firmicutes bacterium CAG 145,0.2170119692575793,ns
Firmicutes bacterium CAG 170,0.8798202545176377,ns
